Tract FIPS Code,tract_id,county,hra,coc
6013314102,13314102,Contra Costa,0,1
6013314103,13314103,Contra Costa,0,1
6013314104,13314104,Contra Costa,0,1
6013314200,13314200,Contra Costa,0,1
6013315000,13315000,Contra Costa,0,0
6013316000,13316000,Contra Costa,0,1
6013317000,13317000,Contra Costa,0,0
6013318000,13318000,Contra Costa,0,0
6013319000,13319000,Contra Costa,0,0
6013320001,13320001,Contra Costa,0,0
6013320003,13320003,Contra Costa,0,0
6013320004,13320004,Contra Costa,0,0
6013321101,13321101,Contra Costa,0,0
6013321102,13321102,Contra Costa,1,0
6013321103,13321103,Contra Costa,1,0
6013321200,13321200,Contra Costa,0,0
6013322000,13322000,Contra Costa,1,0
6013323000,13323000,Contra Costa,1,0
6013324001,13324001,Contra Costa,0,0
6013324002,13324002,Contra Costa,0,0
6013325000,13325000,Contra Costa,1,0
6013326000,13326000,Contra Costa,1,0
6013327000,13327000,Contra Costa,0,0
6013328000,13328000,Contra Costa,0,1
6013329000,13329000,Contra Costa,0,0
6013330000,13330000,Contra Costa,0,0
6013331000,13331000,Contra Costa,0,0
6013332000,13332000,Contra Costa,0,0
6013333101,13333101,Contra Costa,0,0
6013333102,13333102,Contra Costa,0,0
6013333200,13333200,Contra Costa,0,0
6013334001,13334001,Contra Costa,0,0
6013334004,13334004,Contra Costa,0,0
6013334006,13334006,Contra Costa,0,0
6013334200,13334200,Contra Costa,1,0
6013335000,13335000,Contra Costa,0,0
6013336101,13336101,Contra Costa,0,1
6013336102,13336102,Contra Costa,0,1
6013336201,13336201,Contra Costa,0,1
6013336202,13336202,Contra Costa,0,1
6013337100,13337100,Contra Costa,0,0
6013337200,13337200,Contra Costa,0,0
6013337300,13337300,Contra Costa,1,0
6013338101,13338101,Contra Costa,0,0
6013338102,13338102,Contra Costa,0,0
6013338201,13338201,Contra Costa,1,0
6013338203,13338203,Contra Costa,1,0
6013338204,13338204,Contra Costa,1,0
6013338301,13338301,Contra Costa,1,0
6013338302,13338302,Contra Costa,1,0
6013339001,13339001,Contra Costa,1,0
6013339002,13339002,Contra Costa,1,0
6013340001,13340001,Contra Costa,1,0
6013340002,13340002,Contra Costa,1,0
6013341000,13341000,Contra Costa,1,0
6013343001,13343001,Contra Costa,1,0
6013343002,13343002,Contra Costa,1,0
6013343003,13343003,Contra Costa,1,0
6013345101,13345101,Contra Costa,1,0
6013345102,13345102,Contra Costa,1,0
6013345103,13345103,Contra Costa,1,0
6013345105,13345105,Contra Costa,1,0
6013345108,13345108,Contra Costa,1,0
6013345111,13345111,Contra Costa,1,0
6013345112,13345112,Contra Costa,1,0
6013345113,13345113,Contra Costa,1,0
6013345114,13345114,Contra Costa,1,0
6013345115,13345115,Contra Costa,1,0
6013345116,13345116,Contra Costa,1,0
6013345202,13345202,Contra Costa,1,0
6013345203,13345203,Contra Costa,1,0
6013345204,13345204,Contra Costa,1,0
6013346101,13346101,Contra Costa,1,0
6013346102,13346102,Contra Costa,1,0
6013346201,13346201,Contra Costa,1,0
6013346203,13346203,Contra Costa,1,0
6013346204,13346204,Contra Costa,1,0
6013347000,13347000,Contra Costa,1,0
6013348000,13348000,Contra Costa,1,0
6013349000,13349000,Contra Costa,1,0
6013350000,13350000,Contra Costa,1,0
6013351101,13351101,Contra Costa,1,0
6013351102,13351102,Contra Costa,1,0
6013351103,13351103,Contra Costa,1,0
6013351200,13351200,Contra Costa,1,0
6013352101,13352101,Contra Costa,1,0
6013352102,13352102,Contra Costa,1,0
6013352201,13352201,Contra Costa,1,0
6013352202,13352202,Contra Costa,1,0
6013353001,13353001,Contra Costa,1,0
6013353002,13353002,Contra Costa,1,0
6013354001,13354001,Contra Costa,1,0
6013354002,13354002,Contra Costa,1,0
6013355107,13355107,Contra Costa,0,0
6013355108,13355108,Contra Costa,0,0
6013355109,13355109,Contra Costa,0,0
6013355110,13355110,Contra Costa,0,0
6013355111,13355111,Contra Costa,0,0
6013355112,13355112,Contra Costa,1,0
6013355113,13355113,Contra Costa,1,0
6013355114,13355114,Contra Costa,1,0
6013355115,13355115,Contra Costa,1,0
6013355116,13355116,Contra Costa,1,0
6013355117,13355117,Contra Costa,1,0
6013355200,13355200,Contra Costa,0,0
6013355301,13355301,Contra Costa,1,0
6013355302,13355302,Contra Costa,1,0
6013355304,13355304,Contra Costa,1,0
6013355306,13355306,Contra Costa,1,0
6013356001,13356001,Contra Costa,0,0
6013356002,13356002,Contra Costa,0,0
6013357000,13357000,Contra Costa,0,0
6013358000,13358000,Contra Costa,0,1
6013359102,13359102,Contra Costa,0,0
6013359103,13359103,Contra Costa,0,0
6013359104,13359104,Contra Costa,0,0
6013359105,13359105,Contra Costa,0,0
6013359202,13359202,Contra Costa,0,0
6013359203,13359203,Contra Costa,0,0
6013359204,13359204,Contra Costa,0,0
6013360101,13360101,Contra Costa,0,0
6013360102,13360102,Contra Costa,0,0
6013360200,13360200,Contra Costa,0,0
6013361000,13361000,Contra Costa,0,0
6013362000,13362000,Contra Costa,0,0
6013363000,13363000,Contra Costa,0,0
6013364002,13364002,Contra Costa,0,1
6013365002,13365002,Contra Costa,0,1
6013365003,13365003,Contra Costa,0,0
6013366001,13366001,Contra Costa,0,1
6013366002,13366002,Contra Costa,0,1
6013367100,13367100,Contra Costa,0,1
6013367200,13367200,Contra Costa,0,1
6013368001,13368001,Contra Costa,0,1
6013368002,13368002,Contra Costa,0,1
6013369001,13369001,Contra Costa,0,1
6013369002,13369002,Contra Costa,0,1
6013370000,13370000,Contra Costa,0,0
6013371000,13371000,Contra Costa,0,1
6013372000,13372000,Contra Costa,0,1
6013373000,13373000,Contra Costa,0,1
6013374000,13374000,Contra Costa,0,1
6013375000,13375000,Contra Costa,0,1
6013376000,13376000,Contra Costa,0,1
6013377000,13377000,Contra Costa,0,1
6013378000,13378000,Contra Costa,0,0
6013379000,13379000,Contra Costa,0,1
6013380000,13380000,Contra Costa,0,1
6013381000,13381000,Contra Costa,0,1
6013382000,13382000,Contra Costa,0,1
